Country/Region,Date,Downloads,Revenue,Spend,Gross Margin,Gross Margin per Download,DAU,ARPDAU
Bangladesh,07/10/2017,1,0.0,0,0.0,0.0,0,N/A
Bangladesh,03/20/2017,1,0.0,0,0.0,0.0,0,N/A
Bangladesh,03/29/2017,1,0.0,0,0.0,0.0,0,N/A
Bangladesh,04/15/2017,1,0.0,0,0.0,0.0,0,N/A
Bangladesh,05/25/2017,1,0.0,0,0.0,0.0,0,N/A
Bangladesh,07/16/2017,1,0.0,0,0.0,0.0,0,N/A
Bangladesh,11/30/2017,1,0.02,0,0.02,0.02,0,N/A
Bangladesh,12/14/2017,1,0.0,0,0.0,0.0,0,N/A
Bangladesh,12/16/2017,1,0.0,0,0.0,0.0,0,N/A
Bangladesh,03/22/2018,2,0.0,0,0.0,0.0,0,N/A
Bangladesh,04/06/2018,0,0.02,0,0.02,N/A,0,N/A
Belgium,01/02/2016,1,0.57,0,0.57,0.57,0,N/A
Belgium,08/15/2016,1,0,0,0,0.0,0,N/A
Belgium,12/03/2016,1,0,0,0,0.0,0,N/A
Belgium,01/01/2017,0,0.57,0,0.57,N/A,0,N/A
Belgium,01/08/2017,1,0,0,0,0.0,0,N/A
Belgium,01/20/2017,1,0,0,0,0.0,0,N/A
Belgium,02/06/2017,1,0,0,0,0.0,0,N/A
Belgium,02/15/2017,1,0,0,0,0.0,0,N/A
Belgium,02/18/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,03/02/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,03/06/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,03/13/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,03/23/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,04/13/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,04/14/2017,1,0.05,0,0.05,0.05,0,N/A
Belgium,04/15/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,04/19/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,04/26/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,05/05/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,05/06/2017,1,0.1,0,0.1,0.1,0,N/A
Belgium,05/14/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,05/19/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,05/27/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,06/12/2017,12,0.05,0,0.05,0.0,0,N/A
Belgium,06/13/2017,3,0.49,0,0.49,0.16,0,N/A
Belgium,06/14/2017,7,0.64,0,0.64,0.09,0,N/A
Belgium,06/16/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,06/18/2017,2,0.0,0,0.0,0.0,0,N/A
Belgium,06/19/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,06/20/2017,0,0.3,0,0.3,N/A,0,N/A
Belgium,06/29/2017,1,0.27,0,0.27,0.27,0,N/A
Belgium,07/04/2017,0,0.01,0,0.01,N/A,0,N/A
Belgium,07/08/2017,0,0.07,0,0.07,N/A,0,N/A
Belgium,07/09/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,07/15/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,07/20/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,07/29/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,07/31/2017,0,0.22,0,0.22,N/A,0,N/A
Belgium,08/03/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,09/11/2017,1,0.0,0,0.0,0.0,0,N/A
Belgium,10/04/2017,1,0,0,0,0.0,0,N/A
Belgium,01/15/2018,1,0.0,0,0.0,0.0,0,N/A
Belgium,02/09/2018,1,0.0,0,0.0,0.0,0,N/A
Belgium,02/27/2018,1,0.0,0,0.0,0.0,0,N/A
Belgium,03/04/2018,0,0.02,0,0.02,N/A,0,N/A
Belgium,03/13/2018,1,0.0,0,0.0,0.0,0,N/A
Belgium,04/19/2018,0,0.74,0,0.74,N/A,0,N/A
Burkina Faso,04/06/2017,1,0,0,0,0.0,0,N/A
Bulgaria,11/17/2016,1,0,0,0,0.0,0,N/A
Bulgaria,12/26/2016,1,0.0,0,0.0,0.0,0,N/A
Bulgaria,03/26/2017,1,0.0,0,0.0,0.0,0,N/A
Bulgaria,04/05/2017,1,0.0,0,0.0,0.0,0,N/A
Bulgaria,04/11/2017,1,0.0,0,0.0,0.0,0,N/A
Bulgaria,04/18/2017,1,0,0,0,0.0,0,N/A
Bulgaria,05/12/2017,1,0.0,0,0.0,0.0,0,N/A
Bulgaria,06/06/2017,1,0,0,0,0.0,0,N/A
Bulgaria,06/10/2017,1,0.0,0,0.0,0.0,0,N/A
Bulgaria,06/25/2017,1,0.0,0,0.0,0.0,0,N/A
Bulgaria,06/26/2017,1,0,0,0,0.0,0,N/A
Bulgaria,06/27/2017,1,0.0,0,0.0,0.0,0,N/A
Bulgaria,07/09/2017,1,0.0,0,0.0,0.0,0,N/A
Bulgaria,07/13/2017,1,0,0,0,0.0,0,N/A
Bulgaria,07/29/2017,1,0.0,0,0.0,0.0,0,N/A
Bulgaria,08/03/2017,1,0.0,0,0.0,0.0,0,N/A
Bulgaria,10/06/2017,1,0.0,0,0.0,0.0,0,N/A
Bulgaria,10/11/2017,1,0.04,0,0.04,0.04,0,N/A
Bulgaria,10/18/2017,1,0.0,0,0.0,0.0,0,N/A
Bosnia and Herzegovina,04/23/2017,1,0.08,0,0.08,0.08,0,N/A
Bosnia and Herzegovina,05/11/2017,1,0.0,0,0.0,0.0,0,N/A
Bosnia and Herzegovina,06/09/2017,1,0.0,0,0.0,0.0,0,N/A
Bosnia and Herzegovina,06/25/2017,1,0.0,0,0.0,0.0,0,N/A
Brunei,06/19/2017,1,0.0,0,0.0,0.0,0,N/A
Bolivia,02/20/2017,1,0.0,0,0.0,0.0,0,N/A
Bolivia,02/21/2017,1,0.0,0,0.0,0.0,0,N/A
Bolivia,03/11/2017,1,0.0,0,0.0,0.0,0,N/A
Bolivia,03/27/2017,6,0.0,0,0.0,0.0,0,N/A
Bolivia,03/28/2017,1,0.0,0,0.0,0.0,0,N/A
Bolivia,04/01/2017,1,0.0,0,0.0,0.0,0,N/A
Bolivia,05/15/2017,1,0.0,0,0.0,0.0,0,N/A
Bolivia,05/27/2017,1,0.0,0,0.0,0.0,0,N/A
Bolivia,06/15/2017,1,0,0,0,0.0,0,N/A
Bolivia,07/25/2017,1,0.0,0,0.0,0.0,0,N/A
Bolivia,09/14/2017,2,0.0,0,0.0,0.0,0,N/A
Bolivia,09/15/2017,0,0.02,0,0.02,N/A,0,N/A
Bolivia,10/30/2017,1,0.0,0,0.0,0.0,0,N/A
Bolivia,02/04/2018,1,0.0,0,0.0,0.0,0,N/A
Bahrain,03/17/2017,1,0.0,0,0.0,0.0,0,N/A
Bahrain,07/22/2017,1,0.0,0,0.0,0.0,0,N/A
Bahrain,02/14/2018,0,0.02,0,0.02,N/A,0,N/A
Burundi,05/08/2017,1,0.0,0,0.0,0.0,0,N/A
Bhutan,04/08/2017,1,0.0,0,0.0,0.0,0,N/A
Jamaica,01/09/2018,0,0.12,0,0.12,N/A,0,N/A
Botswana,04/23/2017,1,0.02,0,0.02,0.02,0,N/A
Brazil,07/20/2015,1,0.61,0,0.61,0.61,0,N/A
Brazil,01/05/2016,1,0.49,0,0.49,0.49,0,N/A
Brazil,01/07/2016,1,0,0,0,0.0,0,N/A
Brazil,01/12/2016,1,0.48,0,0.48,0.48,0,N/A
Brazil,02/15/2016,1,0,0,0,0.0,0,N/A
Brazil,03/29/2016,1,0,0,0,0.0,0,N/A
Brazil,04/15/2016,1,0.44,0,0.44,0.44,0,N/A
Brazil,11/13/2016,1,0,0,0,0.0,0,N/A
Brazil,11/16/2016,1,0,0,0,0.0,0,N/A
Brazil,11/19/2016,1,0,0,0,0.0,0,N/A
Brazil,12/02/2016,1,0.0,0,0.0,0.0,0,N/A
Brazil,12/06/2016,1,0.0,0,0.0,0.0,0,N/A
Brazil,12/08/2016,2,0.0,0,0.0,0.0,0,N/A
Brazil,12/09/2016,2,0.02,0,0.02,0.01,0,N/A
Brazil,12/11/2016,1,0.0,0,0.0,0.0,0,N/A
Brazil,12/12/2016,1,0.0,0,0.0,0.0,0,N/A
Brazil,12/17/2016,1,0.0,0,0.0,0.0,0,N/A
Brazil,12/18/2016,1,0,0,0,0.0,0,N/A
Brazil,12/22/2016,1,0.0,0,0.0,0.0,0,N/A
Brazil,12/27/2016,2,0.0,0,0.0,0.0,0,N/A
Brazil,12/31/2016,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/01/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/04/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/05/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/06/2017,3,0.0,0,0.0,0.0,0,N/A
Brazil,01/10/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/11/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/12/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/14/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/15/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/17/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/18/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/22/2017,1,0.12,0,0.12,0.12,0,N/A
Brazil,01/23/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/25/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/28/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/29/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/31/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,02/01/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,02/05/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,02/06/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,02/09/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,02/12/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,02/14/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,02/18/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,02/21/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,02/22/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,02/23/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,03/02/2017,2,0.05,0,0.05,0.02,0,N/A
Brazil,03/03/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,03/04/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,03/11/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,03/12/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,03/14/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,03/15/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,03/18/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,03/19/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,03/21/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,03/24/2017,4,0.0,0,0.0,0.0,0,N/A
Brazil,04/02/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,04/07/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,04/09/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,04/13/2017,1,0,0,0,0.0,0,N/A
Brazil,04/14/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,04/15/2017,2,0.02,0,0.02,0.01,0,N/A
Brazil,04/16/2017,1,0.0,0,0.0,0.0,0,N/A
